168,Younis Abdallah Rabee,35
169,Raida Abdallah Bader,51
170,Maha Abdalsalam Gouda,14
171,Mahmoud Abdel Aziz,14
172,Mohamed Abdel Ellah,14
173,Mohamed Abdel Fatah,20
174,Ali Mohamed Badawi Abdel Fattah Badawi,39
175,Abdelgani Hassan Abdel Fattah,14
176,Mahmoud Atter Abdel Fattah,39
177,Mohamed Abdel Fattah,14
178,Sayed Abdel Gadir,20
179,Ibrahim Saad Abdel Galil,20
180,Heba Abdel Gawad,14
181,Sara Abdel Gawad,14
182,Gamal Amin Abdel Ghani,14
183,Abdel Sattar Abdel Hadj,39
184,Ragy Abdel Hady,14
185,Osman Abdel Hafeez,14
186,Mohamed Abdel Hafiz,39
187,Moustafa Ali Abdel Halim,14
188,Mohamed Abdel Hamed,14
189,Hwad Ibrahim Abdel Hamid Lumomba,20
190,Ibrahim Abdel Hamid,14
191,Tamer Mohamed Abdel Hamid,14
192,Ahmed El-Sayed Abdel Hamid Mobarak,14
193,Dorri Abdel Kader Said,14
194,Moustafa Mounib Abdel Kader,39
195,Mohamed Ali Abdel Kerim,14
196,Mohamed Abdel Khaled,52
197,Abdel Latif Abdel Latif,14
198,Walid Abdel Maksoud,14
199,Amir Abdel Meguid,14
200,Mohamed Abdel Mohamed,14
201,Karim Abdel Mohsen,14
202,Awad Abdel Nabi Awad,14
203,Ahmed Abdel Naeim,14
204,Moustafa Abdel Naser,53
205,Ali Abdel Radi,14
206,Amin Abdel Rahman,39
207,Mohamed Fathallah Abdel Rahman,14
208,Fathi Ali Abdel Rahman,14
209,Ibrahim Abdel Rahman,39
210,Khaled Abdel Rahman,14
211,Sameh Abdel Rahman,39
212,Yasser Abdel Rahman Sakr,14
213,Samy Abdel Razek,14
214,Mohamed Youssef Abdel Razik,14
215,Ibrahim Ahmed Abdel Rehim,14
216,Kamal Abdel Rehim,14
217,Reskalla Mohamed Abdel Rehim,14
218,Ahmed Ali Abdel Samad,14
219,Ali Abdel Sami,14
220,Mohamed Abdel Sami,39
221,Sameh Abdel Waress Muhammad,14
222,Mohamed Said Abdel Wehab,14
223,Mahmoud Abdel-Aal,14
224,Mohamed Abdel-El,14
225,Shaimaa Abdel-Latif-Hashad,14
226,Sanad Bushara Abdel-Nadif,20
